nctid	age	count
NCT00074152	<=18 years	0.0
NCT00074152	>=65 years	31.0
NCT00074152	between 18 and 65 years	131.0
NCT00074308	<=18 yearsarm 1	0.0
NCT00074308	>=65 yearsarm 1	0.0
NCT00074308	between 18 and 65 yearsarm 1	40.0
NCT00074412	<=18 years	1522.0
NCT00074412	>=65 years	0.0
NCT00074412	between 18 and 65 years	0.0
NCT00074581	18-25 yr	635.0
NCT00074581	26-40 yr	2180.0
NCT00074581	>40 yr	741.0
NCT00074711	<=18 years	0.0
NCT00074711	>=65 years	230.0
NCT00074711	between 18 and 65 years	11.0
NCT00074815	<=18 years	124.0
NCT00074815	>=65 years	0.0
NCT00074815	between 18 and 65 years	0.0
NCT00074984	<=18 years	0.0
NCT00074984	<40 years	19.0
NCT00074984	≥40 years	63.0
NCT00074984	>=65 years	2.0
NCT00074984	between 18 and 65 years	80.0
NCT00075218	<=18 years	0.0
NCT00075218	>=65 years	110.0
NCT00075218	between 18 and 65 years	251.0
NCT00075335	<=18 years	0.0
NCT00075335	>=65 years	0.0
NCT00075335	between 18 and 65 years	8.0
NCT00075400	40-49 years	3.0
NCT00075400	50-59 years	3.0
NCT00075400	60-69 years	11.0
NCT00075400	70-79 years	4.0
NCT00075400	80-89 years	2.0
NCT00075478	<=18 years	2.0
NCT00075478	>=65 years	10.0
NCT00075478	between 18 and 65 years	73.0
NCT00075725	<=18 years	2924.0
NCT00075725	>=65 years	0.0
NCT00075725	between 18 and 65 years	230.0
NCT00075803	<18 years	51.0
NCT00075803	≥18 years	549.0
NCT00075816	0-10 years	18.0
NCT00075816	11-20 years	37.0
NCT00075816	21-30 years	87.0
NCT00075816	31-40 years	91.0
NCT00075816	41-50 years	107.0
NCT00075816	51-60 years	144.0
